NodoDa;NodoA;AGV;TotaleConsumoNodo;Cont;MediaConsumoNodo;ConsumoMin;ConsumoMax;
586;587;4;0,02;2;0,01;0,009;0,011;
586;587;5;0,01;1;0,01;0,01;0,01;
586;600;2;0,045;3;0,015;0,014;0,016;
586;600;4;0,015;1;0,015;0,015;0,015;
587;438;2;0,041;4;0,01025;0,009;0,012;
587;438;4;0,022;2;0,011;0,01;0,012;
587;438;5;0,01;1;0,01;0,01;0,01;
587;586;5;0,044;2;0,022;0,022;0,022;
587;601;4;0,015;1;0,015;0,015;0,015;
588;571;2;0,028;2;0,014;0,014;0,014;
588;1101;2;0,028;1;0,028;0,028;0,028;
588;1102;2;0,031;1;0,031;0,031;0,031;
588;1103;2;0,194;3;0,06467;0,025;0,127;
588;1126;2;0,124;1;0,124;0,124;0,124;
589;570;2;0,062;4;0,0155;0,014;0,018;
589;570;4;0,063;4;0,01575;0,014;0,017;
589;570;5;0,487;1;0,487;0,487;0,487;
589;570;6;0,048;2;0,024;0,015;0,033;
589;1106;2;0,072;4;0,018;0,017;0,021;
589;1106;4;0,047;4;0,01175;0,009;0,018;
589;1106;6;0,018;1;0,018;0,018;0,018;
590;569;2;0,114;7;0,01629;0,013;0,02;
590;1111;2;0,165;9;0,01833;0,01;0,049;
590;1112;2;0,022;1;0,022;0,022;0,022;
591;568;2;0,158;5;0,0316;0,016;0,086;
591;568;4;0,038;1;0,038;0,038;0,038;
591;1116;2;0,08;5;0,016;0,01;0,034;
591;1116;4;0,017;1;0,017;0,017;0,017;
591;1117;2;0,021;1;0,021;0,021;0,021;
593;566;2;0,016;1;0,016;0,016;0,016;
600;586;2;5,746;42;0,13681;0;5,211;
600;586;4;0,19;12;0,01583;0;0,163;
601;587;4;0,144;11;0,01309;0;0,117;
1001;1002;2;0,045;2;0,0225;0,01;0,035;
1101;588;2;0,038;4;0,0095;0,003;0,022;
1101;1102;2;0,015;1;0,015;0,015;0,015;
1102;1101;2;0,117;3;0,039;0,008;0,074;
1102;1103;2;0,006;1;0,006;0,006;0,006;
1103;1102;2;0,919;12;0,07658;0;0,681;
1103;1104;2;0,009;1;0,009;0,009;0,009;
1104;1103;2;0,038;1;0,038;0,038;0,038;
1104;1105;2;0,009;1;0,009;0,009;0,009;
1105;1104;2;0,044;3;0,01467;0;0,025;
1106;589;2;0,506;22;0,023;0;0,472;
1106;589;4;0,042;4;0,0105;0,008;0,018;
1106;589;6;0,031;2;0,0155;0,009;0,022;
1106;1107;2;0,047;3;0,01567;0,015;0,016;
1106;1107;4;0,077;4;0,01925;0,015;0,029;
1106;1107;6;0,016;1;0,016;0,016;0,016;
1106;1108;2;0,005;1;0,005;0,005;0,005;
1107;1106;2;0,035;4;0,00875;0,008;0,009;
1107;1106;4;0,059;4;0,01475;0,008;0,03;
1107;1106;6;0,031;2;0,0155;0,01;0,021;
1107;1108;2;0,022;3;0,00733;0,006;0,008;
1107;1108;4;0,024;3;0,008;0,008;0,008;
1107;1108;6;0,009;1;0,009;0,009;0,009;
1107;1109;4;0,005;1;0,005;0,005;0,005;
1108;1107;2;0,112;43;0,0026;0;0,074;
1108;1107;4;0,519;8;0,06488;0;0,315;
1108;1107;6;0,081;2;0,0405;0,019;0,062;
1108;1109;2;0,054;4;0,0135;0,008;0,029;
1108;1109;4;0,008;1;0,008;0,008;0,008;
1108;1109;6;0,008;1;0,008;0,008;0,008;
1109;1108;2;0,166;70;0,00237;0;0,091;
1109;1108;4;0,063;4;0,01575;0;0,032;
1109;1108;6;0,066;4;0,0165;0;0,025;
1109;1110;2;0,026;3;0,00867;0,008;0,009;
1109;1110;4;0,008;1;0,008;0,008;0,008;
1110;1109;2;0,136;9;0,01511;0;0,029;
1110;1109;4;0,048;3;0,016;0,001;0,024;
1110;1109;6;0,492;6;0,082;0;0,469;
1111;590;2;0,346;12;0,02883;0,001;0,124;
1111;1112;2;0,095;6;0,01583;0,014;0,017;
1112;1111;2;0,151;9;0,01678;0;0,069;
1112;1113;2;0,021;5;0,0042;0,002;0,006;
1113;1112;2;0,211;23;0,00917;0;0,079;
1113;1114;2;0,032;4;0,008;0,005;0,01;
1114;1113;2;0,093;6;0,0155;0;0,022;
1114;1115;2;0,022;2;0,011;0,011;0,011;
1115;1114;2;4,756;6;0,79267;0;4,69;
1116;591;2;0,106;8;0,01325;0,001;0,038;
1116;591;4;0,048;3;0,016;0;0,024;
1116;1117;2;0,063;4;0,01575;0,013;0,019;
1117;1116;2;1,094;7;0,15629;0;0,953;
1117;1118;2;0,02;3;0,00667;0,005;0,008;
1118;1117;2;0,329;5;0,0658;0;0,26;
1118;1119;2;0,017;2;0,0085;0,007;0,01;
1119;1118;2;0,145;4;0,03625;0;0,108;
1119;1120;2;0,008;1;0,008;0,008;0,008;
1120;1119;2;0,045;3;0,015;0;0,025;
1126;593;2;1,084;2450;0,00044;0;0,315;
1280;541;4;0,022;1;0,022;0,022;0,022;
1280;1281;4;0,012;1;0,012;0,012;0,012;
1281;1280;4;0,049;1;0,049;0,049;0,049;
1501;153;4;0,007;1;0,007;0,007;0,007;
1501;321;4;0,097;2;0,0485;0,006;0,091;
1501;1502;4;0,034;2;0,017;0,017;0,017;
1502;1501;4;0,025;2;0,0125;0,012;0,013;
1502;1503;4;0,014;2;0,007;0,004;0,01;
1503;1501;4;0,053;3;0,01767;0,001;0,031;
1503;1502;4;0,106;5;0,0212;0;0,052;
1561;325;5;0,01;1;0,01;0,01;0,01;
1561;1562;4;0,013;1;0,013;0,013;0,013;
1562;1561;5;0,008;1;0,008;0,008;0,008;
1562;1563;4;0,008;1;0,008;0,008;0,008;
1563;1562;5;0,008;1;0,008;0,008;0,008;
1563;1564;4;0,007;1;0,007;0,007;0,007;
1564;1563;5;0,015;1;0,015;0,015;0,015;
1564;1565;4;0,008;1;0,008;0,008;0,008;
1565;1564;5;0,104;1;0,104;0,104;0,104;
1565;1566;4;0,01;1;0,01;0,01;0,01;
1566;1565;5;0,008;1;0,008;0,008;0,008;
1566;1567;4;0,008;1;0,008;0,008;0,008;
1567;1566;5;0,009;1;0,009;0,009;0,009;
1567;1568;4;0,005;1;0,005;0,005;0,005;
1568;1567;5;0,033;1;0,033;0,033;0,033;
1568;1569;4;0,01;1;0,01;0,01;0,01;
1569;1568;5;0,553;40;0,01383;0;0,54;
1569;1570;4;0,009;1;0,009;0,009;0,009;
1570;1571;4;0,006;1;0,006;0,006;0,006;
1571;1572;4;0,01;1;0,01;0,01;0,01;
1572;1573;4;0,008;1;0,008;0,008;0,008;
1573;1574;4;0,008;1;0,008;0,008;0,008;
1574;1575;4;0,005;1;0,005;0,005;0,005;
1575;1574;4;0,222;1;0,222;0,222;0,222;
1726;338;5;0,06;1;0,06;0,06;0,06;
1727;1726;5;0,474;1;0,474;0,474;0,474;
